dataset	did	seed	auc_challenger	auc_baseline	auc_offline
analcatdata_broadway	992	2106	1	1	1
analcatdata_broadway	992	2107	1	1	0.995169073343277
analcatdata_broadway	992	2108	1	1	1
analcatdata_broadway	992	2109	1	1	1
analcatdata_broadway	992	2110	1	0.89130437374115	1
analcatdata_broadwaymult	961	2101	0.789377272129059	0.700549453496933	0.803800374269485
analcatdata_broadwaymult	961	2102	0.892399251461029	0.563415735960007	0.854624539613724
analcatdata_broadwaymult	961	2103	0.779761910438538	0.701694130897522	0.789148330688477
analcatdata_broadwaymult	961	2104	0.892857134342194	0.551282048225403	0.866529285907745
analcatdata_broadwaymult	961	2105	0.81501829624176	0.816849797964096	0.76053112745285
analcatdata_broadwaymult	961	2106	0.845238089561462	0.818223416805267	0.870421230792999
analcatdata_broadwaymult	961	2107	0.854395627975464	0.818681299686432	0.828296691179276
analcatdata_broadwaymult	961	2108	0.834706962108612	0.848672151565552	0.838141024112701
analcatdata_broadwaymult	961	2109	0.721611738204956	0.731684982776642	0.704899281263351
analcatdata_broadwaymult	961	2110	0.779761910438538	0.526785731315613	0.760760098695755
analcatdata_challenger	1013	2101	0.600775182247162	0.655038774013519	0.635658919811249
analcatdata_challenger	1013	2102	0.689922451972961	0.740310072898865	0.748062014579773
analcatdata_challenger	1013	2103	0.445736438035965	0.484496116638184	0.523255825042725
analcatdata_challenger	1013	2104	0.534883737564087	0.60852712392807	0.684108525514603
analcatdata_challenger	1013	2105	0.693798422813416	0.713178277015686	0.689922481775284
analcatdata_challenger	1013	2106	0.441860467195511	0.519379854202271	0.56395348906517
analcatdata_challenger	1013	2107	0.593023240566254	0.542635649442673	0.492248073220253
analcatdata_challenger	1013	2108	0.573643386363983	0.573643386363983	0.573643386363983
analcatdata_challenger	1013	2109	0.465116292238235	0.360465109348297	0.360465109348297
analcatdata_challenger	1013	2110	0.713178277015686	0.748062014579773	0.810077548027039
analcatdata_chlamydia	875	2101	0.987654328346252	0.990740746259689	0.993827164173126
analcatdata_chlamydia	875	2102	1	0.901234567165375	0.990740746259689
analcatdata_chlamydia	875	2103	1	0.944444447755814	0.990740746259689
analcatdata_chlamydia	875	2104	0.975308656692505	0.827160507440567	0.907407402992249
analcatdata_chlamydia	875	2105	0.981481492519379	0.932098746299744	0.956790119409561
analcatdata_chlamydia	875	2106	1	0.978395074605942	0.996913582086563
analcatdata_chlamydia	875	2107	1	0.941358000040054	0.987654328346252
analcatdata_chlamydia	875	2108	0.975308656692505	0.929012328386307	0.996913582086563
analcatdata_chlamydia	875	2109	0.993827164173126	0.987654328346252	1
analcatdata_chlamydia	875	2110	0.92592591047287	0.879629641771317	0.969135820865631
analcatdata_creditscore	461	2101	1	1	1
analcatdata_creditscore	461	2102	1	0.888888895511627	1
analcatdata_creditscore	461	2103	1	0.967592597007751	1
analcatdata_creditscore	461	2104	1	0.935185194015503	1
analcatdata_creditscore	461	2105	1	1	1
analcatdata_creditscore	461	2106	1	1	1
analcatdata_creditscore	461	2107	0.990740716457367	0.986111104488373	0.986111104488373
analcatdata_creditscore	461	2108	0.995370388031006	0.893518507480621	0.997685194015503
analcatdata_creditscore	461	2109	1	1	1
analcatdata_creditscore	461	2110	1	0.995370388031006	0.990740716457367
analcatdata_cyyoung8092	465	2101	0.949999988079071	0.855000019073486	0.947499990463257
analcatdata_cyyoung8092	465	2102	0.920000016689301	0.779999971389771	0.897499978542328
analcatdata_cyyoung8092	465	2103	0.875	0.774999976158142	0.904999971389771
analcatdata_cyyoung8092	465	2104	0.795000016689301	0.75	0.767499983310699
analcatdata_cyyoung8092	465	2105	0.920000016689301	0.785000026226044	0.899999976158142
analcatdata_cyyoung8092	465	2106	0.894999980926514	0.694999992847443	0.910000026226044
analcatdata_cyyoung8092	465	2107	0.725000023841858	0.774999976158142	0.829999983310699
analcatdata_cyyoung8092	465	2108	0.949999988079071	0.944999992847443	0.977500021457672
analcatdata_cyyoung8092	465	2109	0.884999990463257	0.889999985694885	0.800000011920929
analcatdata_cyyoung8092	465	2110	0.920000016689301	0.889999985694885	0.939999997615814
analcatdata_cyyoung9302	479	2101	0.906666696071625	0.920000016689301	0.803333342075348
analcatdata_cyyoung9302	479	2102	0.973333358764648	0.853333353996277	0.926666676998138
analcatdata_cyyoung9302	479	2103	0.980000019073486	0.946666657924652	0.966666638851166
analcatdata_cyyoung9302	479	2104	0.906666696071625	0.959999978542328	0.893333315849304
analcatdata_cyyoung9302	479	2105	0.906666696071625	0.926666676998138	0.899999976158142
analcatdata_cyyoung9302	479	2106	0.889999985694885	0.826666653156281	0.906666696071625
analcatdata_cyyoung9302	479	2107	0.913333356380463	0.853333353996277	0.943333327770233
analcatdata_cyyoung9302	479	2108	0.893333315849304	0.920000016689301	0.876666665077209
analcatdata_cyyoung9302	479	2109	0.913333356380463	0.833333313465118	0.856666684150696
analcatdata_cyyoung9302	479	2110	0.886666655540466	0.853333353996277	0.920000016689301
analcatdata_dmft	1014	2101	0.526005685329437	0.532035350799561	0.52246156334877
analcatdata_dmft	1014	2102	0.48398232460022	0.500322207808495	0.517536580562592
analcatdata_dmft	1014	2103	0.512243390083313	0.478643089532852	0.495903536677361
analcatdata_dmft	1014	2104	0.597118675708771	0.570192396640778	0.556107878684998
analcatdata_dmft	1014	2105	0.509988009929657	0.523888409137726	0.51077051460743
analcatdata_dmft	1014	2106	0.535211265087128	0.525545448064804	0.511829137802124
analcatdata_dmft	1014	2107	0.513348042964935	0.529826015233994	0.500230133533478
analcatdata_dmft	1014	2108	0.503129899501801	0.520804554224014	0.534704983234406
analcatdata_dmft	1014	2109	0.509067475795746	0.532863855361938	0.515419334173203
analcatdata_dmft	1014	2110	0.554404854774475	0.555325418710709	0.531206846237183
analcatdata_draft	984	2101	0.585950434207916	0.576859503984451	0.58760330080986
analcatdata_draft	984	2102	0.563636362552643	0.570247948169708	0.596280992031097
analcatdata_draft	984	2103	0.547933876514435	0.612809926271439	0.623966962099075
analcatdata_draft	984	2104	0.747933864593506	0.691322326660156	0.700826466083527
analcatdata_draft	984	2105	0.599173545837402	0.578925609588623	0.650000005960464
analcatdata_draft	984	2106	0.663223147392273	0.605785131454468	0.610330581665039
analcatdata_draft	984	2107	0.652892589569092	0.622314035892487	0.678099185228348
analcatdata_draft	984	2108	0.593388438224792	0.646281003952026	0.618801653385162
analcatdata_draft	984	2109	0.65041321516037	0.66818180680275	0.671487599611282
analcatdata_draft	984	2110	0.71074378490448	0.750413209199905	0.628099173307419
analcatdata_fraud	40660	2101	0.800000011920929	0.875	0.800000011920929
analcatdata_fraud	40660	2102	0.574999988079071	0.625	0.574999988079071
analcatdata_fraud	40660	2103	0.899999976158142	0.774999976158142	0.774999976158142
analcatdata_fraud	40660	2104	0.875	0.875	0.850000023841858
analcatdata_fraud	40660	2105	0.675000011920929	0.649999976158142	0.649999976158142
analcatdata_fraud	40660	2106	0.75	0.5	0.800000011920929
analcatdata_fraud	40660	2107	0.899999976158142	0.875	1
analcatdata_fraud	40660	2108	0.774999976158142	0.875	0.774999976158142
analcatdata_fraud	40660	2109	0.949999988079071	0.875	1
analcatdata_fraud	40660	2110	0.800000011920929	0.800000011920929	0.800000011920929
analcatdata_germangss	1025	2101	0.971568644046783	0.913398683071136	0.975326806306839
analcatdata_germangss	1025	2102	0.972875833511353	0.957679748535156	0.974673211574554
analcatdata_germangss	1025	2103	0.979084968566895	0.962745100259781	0.97009801864624
analcatdata_germangss	1025	2104	0.963725507259369	0.871241807937622	0.962091505527496
analcatdata_germangss	1025	2105	0.929411768913269	0.928594768047333	0.944281041622162
analcatdata_germangss	1025	2106	0.973856210708618	0.977941155433655	0.970915019512177
analcatdata_germangss	1025	2107	0.958169937133789	0.864542484283447	0.950490206480026
analcatdata_germangss	1025	2108	0.981372535228729	0.983660131692886	0.96846404671669
analcatdata_germangss	1025	2109	0.927124202251434	0.870424836874008	0.936764717102051
analcatdata_germangss	1025	2110	0.945424854755402	0.938725471496582	0.960130721330643
analcatdata_gsssexsurvey	852	2101	0.406504064798355	0.409552857279778	0.422256097197533
analcatdata_gsssexsurvey	852	2102	0.615853667259216	0.583333313465118	0.56300812959671
analcatdata_gsssexsurvey	852	2103	0.546747982501984	0.593495935201645	0.579268276691437
analcatdata_gsssexsurvey	852	2104	0.589430868625641	0.649390250444412	0.629065036773682
analcatdata_gsssexsurvey	852	2105	0.502032518386841	0.452235773205757	0.47764228284359
analcatdata_gsssexsurvey	852	2106	0.601626038551331	0.619918704032898	0.618902444839478
analcatdata_gsssexsurvey	852	2107	0.52439022064209	0.62398374080658	0.579268306493759
analcatdata_gsssexsurvey	852	2108	0.636178851127625	0.611788630485535	0.60569104552269
analcatdata_gsssexsurvey	852	2109	0.452235758304596	0.434451222419739	0.449695125222206
analcatdata_gsssexsurvey	852	2110	0.546747982501984	0.58841460943222	0.583841472864151
analcatdata_gviolence	859	2101	1	0.996666669845581	0.993333339691162
analcatdata_gviolence	859	2102	1	0.959999978542328	1
analcatdata_gviolence	859	2103	1	1	1
analcatdata_gviolence	859	2104	1	1	1
analcatdata_gviolence	859	2105	1	1	1
analcatdata_gviolence	859	2106	1	1	1
analcatdata_gviolence	859	2107	0.966666638851166	0.973333328962326	0.981666654348373
analcatdata_gviolence	859	2108	1	1	0.995000004768372
analcatdata_gviolence	859	2109	1	1	1
analcatdata_gviolence	859	2110	1	0.986666679382324	1
analcatdata_japansolvent	467	2101	0.592592597007751	0.740740716457367	0.666666686534882
analcatdata_japansolvent	467	2102	0.814814805984497	0.833333313465118	0.771604955196381
analcatdata_japansolvent	467	2103	0.851851880550385	0.888888895511627	0.814814805984497
analcatdata_japansolvent	467	2104	0.888888895511627	0.839506149291992	1
analcatdata_japansolvent	467	2105	0.814814805984497	0.790123462677002	0.839506149291992
analcatdata_japansolvent	467	2106	0.777777791023254	0.814814805984497	0.851851880550385
analcatdata_japansolvent	467	2107	1	0.987654328346252	1
analcatdata_japansolvent	467	2108	0.901234567165375	0.938271582126617	0.901234567165375
analcatdata_japansolvent	467	2109	0.666666686534882	0.641975283622742	0.796296298503876
analcatdata_japansolvent	467	2110	0.901234567165375	0.901234567165375	0.895061731338501
