dataset	did	seed	auc_challenger	auc_baseline	auc_offline
breast-cancer	13	2101	0.725681935151827	0.716932578486876	0.791816778178075
breast-cancer	13	2102	0.739320638188369	0.699691199176531	0.733144621718991
breast-cancer	13	2103	0.665980442614514	0.67524446731858	0.654143077714874
breast-cancer	13	2104	0.732887287699434	0.777148739063304	0.681935151827072
breast-cancer	13	2105	0.729027277406073	0.733659289758106	0.715645908389089
breast-cancer	13	2106	0.682449819866186	0.633041688111168	0.739320638188369
breast-cancer	13	2107	0.651827071538857	0.711528564076171	0.648224395265054
breast-cancer	13	2108	0.658775090066907	0.676273803396809	0.674472465259907
breast-cancer	13	2109	0.683221821924858	0.714101904271745	0.621976325270201
breast-cancer	13	2110	0.669068450849202	0.659804426145136	0.695059186824498
breast-w	15	2101	0.99297385620915	0.99640522875817	0.99358660130719
breast-w	15	2102	0.99375	0.995669934640523	0.986111111111111
breast-w	15	2103	0.994035947712418	0.991339869281046	0.98937908496732
breast-w	15	2104	0.996732026143791	0.995261437908497	0.987009803921569
breast-w	15	2105	0.995261437908497	0.993545751633987	0.992769607843137
breast-w	15	2106	0.983415032679739	0.990849673202614	0.983741830065359
breast-w	15	2107	0.993300653594771	0.990114379084967	0.987990196078432
breast-w	15	2108	0.991830065359477	0.984150326797386	0.980106209150327
breast-w	15	2109	0.992892156862745	0.979248366013072	0.983946078431373
breast-w	15	2110	0.994444444444444	0.997058823529412	0.99391339869281
diabetes	37	2101	0.830586018973289	0.76000807374016	0.815918724349055
diabetes	37	2102	0.835362981901366	0.824732557357196	0.833243625109332
diabetes	37	2103	0.809527013388952	0.796609029132746	0.808248671196932
diabetes	37	2104	0.808383233532934	0.819080939245105	0.778039426764449
diabetes	37	2105	0.787256946780596	0.725089147547601	0.798593823588778
diabetes	37	2106	0.832402610509318	0.79189934737267	0.786012245172576
diabetes	37	2107	0.813833008141021	0.814169413981027	0.797954652492767
diabetes	37	2108	0.814169413981027	0.793446814236695	0.809056045212945
diabetes	37	2109	0.830720581309291	0.75435645562807	0.781336203996501
diabetes	37	2110	0.831595236493306	0.763641256812218	0.830586018973289
haberman	43	2101	0.611851851851852	0.580246913580247	0.625679012345679
haberman	43	2102	0.611358024691358	0.541234567901234	0.585185185185185
haberman	43	2103	0.685925925925926	0.661234567901235	0.601481481481482
haberman	43	2104	0.666666666666667	0.657283950617284	0.650123456790123
haberman	43	2105	0.674814814814815	0.666913580246914	0.704938271604938
haberman	43	2106	0.632345679012346	0.640246913580247	0.617777777777778
haberman	43	2107	0.621728395061728	0.565432098765432	0.603456790123457
haberman	43	2108	0.719506172839506	0.615802469135802	0.688888888888889
haberman	43	2109	0.698765432098765	0.720246913580247	0.662962962962963
haberman	43	2110	0.570864197530864	0.569876543209877	0.566913580246914
heart-c	49	2101	0.879841897233202	0.880237154150198	0.869169960474308
heart-c	49	2102	0.862450592885376	0.890513833992095	0.865415019762846
heart-c	49	2103	0.888932806324111	0.88300395256917	0.848418972332016
heart-c	49	2104	0.863241106719368	0.905533596837945	0.851581027667984
heart-c	49	2105	0.83201581027668	0.893280632411067	0.785375494071146
heart-c	49	2106	0.870355731225297	0.853359683794466	0.837747035573122
heart-c	49	2107	0.925691699604743	0.884189723320158	0.910276679841897
heart-c	49	2108	0.925691699604743	0.883399209486166	0.906719367588933
heart-c	49	2109	0.857312252964427	0.891699604743083	0.824703557312253
